Kalendertext|Datum|Tag|Text für den Chat|Passage 1|Passage 2|Passage 3|Passage 4|Passage 5|Passage 6|Passage 7|Passage 8|Passage 9
Frei|01.01.18|1||||||||||
Frei|02.01.18|2||||||||||
Frei|03.01.18|3||||||||||
Frei|04.01.18|4||||||||||
Frei|05.01.18|5||||||||||
Frei|06.01.18|6||||||||||
Ps 1 u. 2|07.01.18|7||Psalm 1|Psalm 2|||||||
1Mo 1-2; Jo 1|08.01.18|8||1. Mose 1|1. Mose 2|Johannes 1||||||
1Mo 3-4; Jo 2|09.01.18|9||1. Mose 3|1. Mose 4|Johannes 2||||||
1Mo 5-6; Jo 3|10.01.18|10||1. Mose 5|1. Mose 6|Johannes 3||||||
1Mo 7 – 9; Jo 4|11.01.18|11||1. Mose 7|1. Mose 8|1. Mose 8|Johannes 4|||||
1Mo 10; Jo 5|12.01.18|12||1. Mose 10|Johannes 5|||||||
1Mo 11; Jo 6|13.01.18|13||1. Mose 11|Johannes 6|||||||
Ps 3 u. 4|14.01.18|14||Psalm 3|Psalm 4|||||||
Frei|15.01.18|15||||||||||
Frei|16.01.18|16||||||||||
Frei|17.01.18|17||||||||||
Frei|18.01.18|18||||||||||
CVH Einleitungsfragen: Johannes|19.01.18|19||||||||||
Frei|20.01.18|20||||||||||
Ps 5 u. 6|21.01.18|21||Psalm 5|Psalm 6|||||||
1Mo 12 – 13; Jo 7|22.01.18|22||1. Mose 12|1. Mose 13|Johannes 7||||||
1Mo 14 – 15; Jo 8|23.01.18|23||1. Mose 14|1. Mose 15|Johannes 8||||||
1Mo 16 – 17; Jo 9|24.01.18|24||1. Mose 16|1. Mose 17|Johannes 9||||||
1Mo 18 – 19; Jo 10|25.01.18|25||1. Mose 18|1. Mose 19|Johannes 10||||||
1Mo 20; Jo 11|26.01.18|26||1. Mose 20|Johannes 11|||||||
1Mo 21 – 22; Jo 12|27.01.18|27||1. Mose 21|1. Mose 22|Johannes 12||||||
Ps 7 u. 8|28.01.18|28||Psalm 7|Psalm 8|||||||
1Mo 23 – 24; Jo 13|29.01.18|29||1. Mose 23|1. Mose 24|Johannes 13||||||
1Mo 25; Jo 14|30.01.18|30||1. Mose 25|Johannes 14|||||||
1Mo 26 – 28; Jo 15|31.01.18|31||1. Mose 26|1. Mose 27|1. Mose 28|Johannes 15|||||
1Mo 29 – 30; Jo 16|01.02.18|32||1. Mose 29|1. Mose 30|Johannes 16||||||
1Mo 31 – 33; Jo 17|02.02.18|33||1. Mose 31|1. Mose 32|1. Mose 33|Johannes 17|||||
1Mo 34 – 35; Jo 18|03.02.18|34||1. Mose 34|1. Mose 35|Johannes 18||||||
Ps 9|04.02.18|35||Psalm 9||||||||
1Mo 36; Jo 19|05.02.18|36||1. Mose 36|Johannes 19|||||||
1Mo 37; Jo 20|06.02.18|37||1. Mose 37|Johannes 20|||||||
1Mo 38; Jo 21|07.02.18|38||1. Mose 38|Johannes 21|||||||
1Mo 39 – 41; 1Ko 1                                                                                                                                                ,1-17|08.02.18|39||1. Mose 39|1. Mose 40|1. Mose 41|1. Korinther 1:1-17|||||
1Mo 42 – 43; 1Ko 1                                                                                                                                                ,18-2|09.02.18|40||1. Mose 42|1. Mose 43|1. Korinther 1:18-31|1. Korinther 2|||||
1Mo 44 – 46|10.02.18|41||1. Mose 44|1. Mose 45|1. Mose 46||||||
Ps 10|11.02.18|42||Psalm 10||||||||
1M 47 - 48;1Ko 3|12.02.18|43||1. Mose 47|1. Mose 48|1. Korinther 3||||||
1Mo 49 – 50; 1Ko 4|13.02.18|44||1. Mose 49|1. Mose 50|1. Korinther 4||||||
2Mo 1 – 2; 1Ko 5|14.02.18|45||2. Mose 1|2. Mose 2|1. Korinther 5||||||
2Mo 3 – 4; 1Ko 6|15.02.18|46||2. Mose 3|2. Mose 4|1. Korinther 6||||||
2Mo 5 – 6; 1Ko 7|16.02.18|47||2. Mose 5|2. Mose 6|1. Korinther 7||||||
2Mo 7 - 10|17.02.18|48||2. Mose 7|2. Mose 8|2. Mose 9||||||
Ps 11 bis 13|18.02.18|49||Psalm 11|Psalm 12|Psalm 13||||||
Frei|19.02.18|50||||||||||
Frei|20.02.18|51||||||||||
Frei|21.02.18|52||||||||||
2Mo 11 – 12; 1Ko 8;|22.02.18|53||2. Mose 11|2. Mose 12|1. Korinther 8||||||
2Mo 13 – 14; 1Ko 9; |23.02.18|54||2. Mose 13|2. Mose 14|1. Korinther 9||||||
2Mo 15; 1Ko 10 – 11|24.02.18|55||2. Mose 15|1. Korinther 10|1. Korinther 11||||||
Ps 14 – 16|25.02.18|56||Psalm 14|Psalm 15|Psalm 16||||||
CVH-Woche Einleitungsfragen: Buch Genesis|26.02.18|57|CVH-Woche: 26.02.: 19.30 Uhr: Bibelkunde (Einführung in das zweite Buch Mose; Dr. Hans-Georg Wünch)|||||||||
CVH-Woche|27.02.18|58|CVH-Woche: 27.02.: 19.30 Uhr: Glaubensverständnis der Evangelikalen (Prof. Dr. F. Jung)|||||||||
CVH-Woche|28.02.18|59|CVH-Woche: 28.02.: 19.30 Uhr: Christenverfolgung (A. Lind                                                                                   ,Open Doors)|||||||||
